Product_Reporting	Customer_Value_Score	Page_Views
AutoPurchase	0	1
AutoRefinance	0	2
CreditCards	1000000	20
Student Loans	0	97
Prequalification	7283.321194	1373
CreditAnalyzer	25374.27049	3941
Debt Relief	14240.40391	15449
Business Loans	6184.610627	58209
Reverse Mortgage	570.2099513	87687
Auto	1799.01414	667032
Home Equity	1092.557588	668157
Purchase	1443.897368	1869939
Personal	3803.706059	2113728
Refinance	809.0265998	2620433
